created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Feb 27 21:22:00 +0000 2023;1630317347675439105;"Was Cristiano Ronaldo named in the FIFPro World 11?  2007 - Yes 2008 - Yes 2009 - Yes 2010 - Yes 2011 - Yes 2012 - Yes 2013 - Yes 2014 - Yes 2015 - Yes 2016 - Yes 2017 - Yes 2018 - Yes 2019 - Yes 2020 - Yes 2021 - Yes 2022 - No  The streak is over. #TheBest";19;13;66;499;en;385473825;1630317347675439105;Squawka;https://twitter.com/Squawka/status/1630317347675439105
Mon Feb 27 21:21:11 +0000 2023;1630317145266733058;"This exactly is the reason why I will always rank Ronaldo higher than anyone else, football’s biggest organisations, media, players all were/are against him and he managed to come out on top https://t.co/8J41L0uJNC";3;5;107;712;en;1432583918004277250;1630317145266733058;J4EGOLDBERG;https://twitter.com/J4EGOLDBERG/status/1630317145266733058
Mon Feb 27 21:19:16 +0000 2023;1630316659306033154;"FIFA showing a picture of Ronaldo on the bench clearly shows why they are Messi Fans and did everything for him to win🤦🏾‍♂️ https://t.co/cSFs0ryguz";41;246;410;4780;en;1267067442884481027;1630316659306033154;the_marcoli_boy;https://twitter.com/the_marcoli_boy/status/1630316659306033154
Mon Feb 27 21:19:09 +0000 2023;1630316630109573129;"Cristiano Ronaldo's unbelievable streak of 15 consecutive inclusions comes to end 👏";1;16;34;868;en;1233869375691730944;1630316627450273793;mvsrapp;https://twitter.com/mvsrapp/status/1630316630109573129
Mon Feb 27 21:17:09 +0000 2023;1630316128554881025;"FIFA don’t even try to hide the agenda they have against Cristiano Ronaldo https://t.co/RYGia6C5kK";12;31;212;2063;en;1359716763823312899;1630316128554881025;erlingtxt;https://twitter.com/erlingtxt/status/1630316128554881025
Mon Feb 27 21:10:41 +0000 2023;1630314503186333700;"Ronaldo's biggest achievement in football was winning the Ballon D'or 5 times in this rigged system. Messi's biggest achievement is winning the Fifa Best player with 4 penalties. Goats 🐐🐐 https://t.co/5JDxNOkh4z";36;500;528;6556;en;1145137598379282432;1630314503186333700;gyaigyimii;https://twitter.com/gyaigyimii/status/1630314503186333700
Mon Feb 27 20:49:22 +0000 2023;1630309137556074497;"@Vettel_AMR Something Ronaldo will never win. https://t.co/sRnGyhXydF";1;31;86;2648;en;274869035;1630308642011459584;ExclusiveMessi;https://twitter.com/ExclusiveMessi/status/1630309137556074497
Mon Feb 27 20:48:50 +0000 2023;1630309001563893761;"Ronaldo Nazario on The Best:   “Messi deserves the award for the best player. The World Cup weighs heavily on those who vote. It is very clear that today he wins once again." https://t.co/DjKwmRtKRx";1;2;65;999;en;1428717436241653764;1630309001563893761;CrewsMat10;https://twitter.com/CrewsMat10/status/1630309001563893761
Mon Feb 27 20:47:39 +0000 2023;1630308703499853825;"@CFC_Janty As soon as Ronaldo won a ballon dor football fell off";0;24;17;1312;en;1156274710767919104;1630308147536510976;Will__AVFC;https://twitter.com/Will__AVFC/status/1630308703499853825
Mon Feb 27 20:39:16 +0000 2023;1630306596378255360;"Ronaldo deserved Puskas for this goal, Robbery 😡 https://t.co/ppycxc23i1";4;36;170;2262;en;1228693340734083072;1630306596378255360;breathMessi21;https://twitter.com/breathMessi21/status/1630306596378255360
Mon Feb 27 20:20:06 +0000 2023;1630301769505832960;"Messi fans really think we care about the FIFA best award 😭😭  Ronaldo already has three https://t.co/8L3uOjszkC";22;215;335;5219;en;1452658453063819269;1630301769505832960;Total_Zlatan;https://twitter.com/Total_Zlatan/status/1630301769505832960
